TaskID,WorkflowStepIndex,MappedRequestID,RequiredModelType
task_Server1_test_0_0,0,req_2249037,ChatGPT
task_Server1_test_0_0,1,req_5107429,ChatGPT
task_Server1_test_0_0,2,req_3557546,ChatGPT
task_Server1_test_0_0,3,req_4592925,ChatGPT
task_Server1_test_0_0,4,req_2675955,GPT-4
task_Server1_test_0_1,0,req_2472310,ChatGPT
task_Server1_test_0_1,1,req_3429961,ChatGPT
task_Server1_test_0_1,2,req_1919819,GPT-4
task_Server1_test_0_1,3,req_5035187,ChatGPT
task_Server1_test_0_1,4,req_2353018,GPT-4v
task_Server1_test_0_2,0,req_2782854,ChatGPT
task_Server1_test_0_2,1,req_3332856,GPT-4
task_Server1_test_0_2,2,req_3810707,GPT-4v
task_Server1_test_0_2,3,req_1430146,ChatGPT
task_Server1_test_0_2,4,req_4584765,GPT-4v
task_Server1_test_0_3,0,req_3909161,ChatGPT
task_Server1_test_0_3,1,req_2140720,ChatGPT
task_Server1_test_0_3,2,req_2687366,GPT-4
task_Server1_test_0_3,3,req_5222797,GPT-4v
task_Server1_test_0_3,4,req_3929184,ChatGPT
task_Server1_test_0_4,0,req_3525884,ChatGPT
task_Server1_test_0_4,1,req_5278664,GPT-4
task_Server1_test_0_4,2,req_2428473,ChatGPT
task_Server1_test_0_4,3,req_2097766,ChatGPT
task_Server1_test_0_4,4,req_4556886,ChatGPT
task_Server1_test_0_5,0,req_3934599,ChatGPT
task_Server1_test_0_5,1,req_4635226,ChatGPT
task_Server1_test_0_5,2,req_2876394,ChatGPT
task_Server1_test_0_5,3,req_3316308,ChatGPT
task_Server1_test_0_5,4,req_2710291,GPT-4
task_Server1_test_0_6,0,req_4316811,GPT-4
task_Server1_test_0_6,1,req_1485047,ChatGPT
task_Server1_test_0_6,2,req_4821528,ChatGPT
task_Server1_test_0_6,3,req_2875342,ChatGPT
task_Server1_test_0_6,4,req_1599463,GPT-4v
task_Server1_test_0_7,0,req_4776899,ChatGPT
task_Server1_test_0_7,1,req_3931823,ChatGPT
task_Server1_test_0_7,2,req_5116071,ChatGPT
task_Server1_test_0_7,3,req_5168253,GPT-4
task_Server1_test_0_7,4,req_5007523,ChatGPT
task_Server1_test_0_8,0,req_3876721,ChatGPT
task_Server1_test_0_8,1,req_3608444,ChatGPT
task_Server1_test_0_8,2,req_1971022,ChatGPT
task_Server1_test_0_8,3,req_1917200,GPT-4
task_Server1_test_0_8,4,req_4354953,ChatGPT
task_Server1_test_0_9,0,req_1625624,ChatGPT
task_Server1_test_0_9,1,req_1463693,ChatGPT
task_Server1_test_0_9,2,req_1987860,GPT-4
task_Server1_test_0_9,3,req_2441215,GPT-4v
task_Server1_test_0_9,4,req_3515578,GPT-4v
task_Server1_test_0_10,0,req_4923162,ChatGPT
task_Server1_test_0_10,1,req_5199794,ChatGPT
task_Server1_test_0_10,2,req_1589730,ChatGPT
task_Server1_test_0_10,3,req_2714963,GPT-4
task_Server1_test_0_10,4,req_4311788,GPT-4v
task_Server1_test_0_11,0,req_1534090,ChatGPT
task_Server1_test_0_11,1,req_4944625,GPT-4
task_Server1_test_0_11,2,req_3759592,GPT-4v
task_Server1_test_0_11,3,req_4281271,GPT-4v
task_Server1_test_0_11,4,req_2807577,GPT-4v
task_Server1_test_0_12,0,req_2935749,GPT-4
task_Server1_test_0_12,1,req_4336212,ChatGPT
task_Server1_test_0_12,2,req_4487230,ChatGPT
task_Server1_test_0_12,3,req_1659481,ChatGPT
task_Server1_test_0_12,4,req_3207884,GPT-4v
task_Server1_test_0_13,0,req_3533769,ChatGPT
task_Server1_test_0_13,1,req_4490710,ChatGPT
task_Server1_test_0_13,2,req_5071677,GPT-4
task_Server1_test_0_13,3,req_3892109,ChatGPT
task_Server1_test_0_13,4,req_4292725,ChatGPT
task_Server1_test_0_14,0,req_1892815,ChatGPT
task_Server1_test_0_14,1,req_3376200,ChatGPT
task_Server1_test_0_14,2,req_1670620,GPT-4
task_Server1_test_0_14,3,req_3448617,GPT-4v
task_Server1_test_0_14,4,req_3653285,ChatGPT
task_Server1_test_0_15,0,req_1592915,ChatGPT
task_Server1_test_0_15,1,req_4407554,ChatGPT
task_Server1_test_0_15,2,req_3667117,GPT-4
task_Server1_test_0_15,3,req_5253102,ChatGPT
task_Server1_test_0_15,4,req_2656753,GPT-4v
task_Server1_test_0_16,0,req_3343683,ChatGPT
task_Server1_test_0_16,1,req_1986414,GPT-4
task_Server1_test_0_16,2,req_4725030,ChatGPT
task_Server1_test_0_16,3,req_4240990,ChatGPT
task_Server1_test_0_16,4,req_2548495,GPT-4v
task_Server1_test_0_17,0,req_3616168,ChatGPT
task_Server1_test_0_17,1,req_5040741,ChatGPT
task_Server1_test_0_17,2,req_3976127,ChatGPT
task_Server1_test_0_17,3,req_5117845,GPT-4
task_Server1_test_0_17,4,req_4559701,ChatGPT
task_Server1_test_0_18,0,req_2118315,ChatGPT
task_Server1_test_0_18,1,req_2536599,ChatGPT
task_Server1_test_0_18,2,req_4443301,ChatGPT
task_Server1_test_0_18,3,req_1742937,ChatGPT
task_Server1_test_0_18,4,req_5255608,GPT-4
task_Server1_test_0_19,0,req_4880744,ChatGPT
task_Server1_test_0_19,1,req_2532911,ChatGPT
task_Server1_test_0_19,2,req_5270292,GPT-4
task_Server1_test_0_19,3,req_3410735,ChatGPT
task_Server1_test_0_19,4,req_3811854,GPT-4v
task_Server1_test_0_20,0,req_5065309,GPT-4
task_Server1_test_0_20,1,req_2061263,GPT-4v
task_Server1_test_0_20,2,req_2004168,ChatGPT
task_Server1_test_0_20,3,req_2161186,GPT-4v
task_Server1_test_0_20,4,req_3513264,GPT-4v
task_Server1_test_0_21,0,req_4306973,GPT-4
task_Server1_test_0_21,1,req_4279554,GPT-4v
task_Server1_test_0_21,2,req_3318932,ChatGPT
task_Server1_test_0_21,3,req_4301492,GPT-4v
task_Server1_test_0_21,4,req_4433481,ChatGPT
task_Server1_test_0_22,0,req_5076118,GPT-4
task_Server1_test_0_22,1,req_3929677,ChatGPT
task_Server1_test_0_22,2,req_3576315,ChatGPT
task_Server1_test_0_22,3,req_4519581,GPT-4v
task_Server1_test_0_22,4,req_3107050,GPT-4v
task_Server1_test_0_23,0,req_3299817,ChatGPT
task_Server1_test_0_23,1,req_4465186,ChatGPT
task_Server1_test_0_23,2,req_1810708,ChatGPT
task_Server1_test_0_23,3,req_2841816,GPT-4
task_Server1_test_0_23,4,req_1779162,GPT-4v
task_Server1_test_0_24,0,req_2250400,ChatGPT
task_Server1_test_0_24,1,req_4667644,ChatGPT
task_Server1_test_0_24,2,req_3452839,ChatGPT
task_Server1_test_0_24,3,req_2271869,ChatGPT
task_Server1_test_0_24,4,req_4320906,GPT-4
task_Server1_test_0_25,0,req_4161523,ChatGPT
task_Server1_test_0_25,1,req_1811550,ChatGPT
task_Server1_test_0_25,2,req_5029299,ChatGPT
task_Server1_test_0_25,3,req_5255142,GPT-4
task_Server1_test_0_25,4,req_5041144,ChatGPT
task_Server1_test_0_26,0,req_3895588,ChatGPT
task_Server1_test_0_26,1,req_1940347,GPT-4
task_Server1_test_0_26,2,req_2783293,ChatGPT
task_Server1_test_0_26,3,req_2921044,ChatGPT
task_Server1_test_0_26,4,req_3866566,GPT-4v
task_Server1_test_0_27,0,req_4965047,GPT-4
task_Server1_test_0_27,1,req_4104012,ChatGPT
task_Server1_test_0_27,2,req_2539359,GPT-4v
task_Server1_test_0_27,3,req_4503216,GPT-4v
task_Server1_test_0_27,4,req_1652728,GPT-4v
task_Server1_test_0_28,0,req_4372347,ChatGPT
task_Server1_test_0_28,1,req_3335800,ChatGPT
task_Server1_test_0_28,2,req_3805127,GPT-4
task_Server1_test_0_28,3,req_1700638,GPT-4v
task_Server1_test_0_28,4,req_4242909,ChatGPT
task_Server1_test_0_29,0,req_4964447,GPT-4
task_Server1_test_0_29,1,req_2298815,GPT-4v
task_Server1_test_0_29,2,req_4221365,GPT-4v
task_Server1_test_0_29,3,req_3164902,ChatGPT
task_Server1_test_0_29,4,req_2586867,GPT-4v
task_Server1_test_0_30,0,req_4693106,ChatGPT
task_Server1_test_0_30,1,req_3581720,ChatGPT
task_Server1_test_0_30,2,req_3811088,ChatGPT
task_Server1_test_0_30,3,req_1916834,GPT-4
task_Server1_test_0_30,4,req_3483935,GPT-4v
task_Server1_test_0_31,0,req_3892622,ChatGPT
task_Server1_test_0_31,1,req_2137775,ChatGPT
task_Server1_test_0_31,2,req_3360248,ChatGPT
task_Server1_test_0_31,3,req_3238999,ChatGPT
task_Server1_test_0_31,4,req_3755778,GPT-4
task_Server1_test_0_32,0,req_4400802,ChatGPT
task_Server1_test_0_32,1,req_3119257,ChatGPT
task_Server1_test_0_32,2,req_5185881,ChatGPT
task_Server1_test_0_32,3,req_1718387,ChatGPT
task_Server1_test_0_32,4,req_2068454,GPT-4
task_Server1_test_0_33,0,req_2634768,ChatGPT
task_Server1_test_0_33,1,req_2764139,ChatGPT
task_Server1_test_0_33,2,req_2499544,ChatGPT
task_Server1_test_0_33,3,req_3367014,ChatGPT
task_Server1_test_0_33,4,req_1965922,GPT-4
task_Server1_test_0_34,0,req_4162556,ChatGPT
task_Server1_test_0_34,1,req_2116108,GPT-4
task_Server1_test_0_34,2,req_3546562,GPT-4v
task_Server1_test_0_34,3,req_3802300,ChatGPT
task_Server1_test_0_34,4,req_1778800,GPT-4v
task_Server1_test_0_35,0,req_2173861,ChatGPT
task_Server1_test_0_35,1,req_2076232,ChatGPT
task_Server1_test_0_35,2,req_3475489,GPT-4
task_Server1_test_0_35,3,req_3370508,ChatGPT
task_Server1_test_0_35,4,req_4218211,GPT-4v
task_Server1_test_0_36,0,req_4837152,ChatGPT
task_Server1_test_0_36,1,req_5103307,GPT-4
task_Server1_test_0_36,2,req_4337695,GPT-4v
task_Server1_test_0_36,3,req_3653103,GPT-4v
task_Server1_test_0_36,4,req_1513863,GPT-4v
task_Server1_test_0_37,0,req_4783269,ChatGPT
task_Server1_test_0_37,1,req_2636204,GPT-4
task_Server1_test_0_37,2,req_3900905,ChatGPT
task_Server1_test_0_37,3,req_1722455,GPT-4v
task_Server1_test_0_37,4,req_3504715,GPT-4v
task_Server1_test_0_38,0,req_4826033,ChatGPT
task_Server1_test_0_38,1,req_3226130,ChatGPT
task_Server1_test_0_38,2,req_1928182,GPT-4
task_Server1_test_0_38,3,req_2686946,ChatGPT
task_Server1_test_0_38,4,req_2697541,ChatGPT
task_Server1_test_0_39,0,req_2945345,ChatGPT
task_Server1_test_0_39,1,req_2542109,ChatGPT
task_Server1_test_0_39,2,req_2688423,GPT-4
task_Server1_test_0_39,3,req_5010494,ChatGPT
task_Server1_test_0_39,4,req_2611466,ChatGPT
task_Server1_test_0_40,0,req_1940573,GPT-4
task_Server1_test_0_40,1,req_1938956,GPT-4v
task_Server1_test_0_40,2,req_3693887,ChatGPT
task_Server1_test_0_40,3,req_5148974,GPT-4v
task_Server1_test_0_40,4,req_5187133,ChatGPT
task_Server1_test_0_41,0,req_2603010,ChatGPT
task_Server1_test_0_41,1,req_2674682,GPT-4
task_Server1_test_0_41,2,req_1572264,ChatGPT
task_Server1_test_0_41,3,req_3634111,GPT-4v
task_Server1_test_0_41,4,req_1443504,GPT-4v
task_Server1_test_0_42,0,req_3627545,ChatGPT
task_Server1_test_0_42,1,req_1780611,ChatGPT
task_Server1_test_0_42,2,req_3358175,ChatGPT
task_Server1_test_0_42,3,req_4967723,GPT-4
task_Server1_test_0_42,4,req_1441180,ChatGPT
task_Server1_test_0_43,0,req_2515344,ChatGPT
task_Server1_test_0_43,1,req_1719898,ChatGPT
task_Server1_test_0_43,2,req_4444515,ChatGPT
task_Server1_test_0_43,3,req_2862726,ChatGPT
task_Server1_test_0_43,4,req_2699740,GPT-4
task_Server1_test_0_44,0,req_3483064,ChatGPT
task_Server1_test_0_44,1,req_3550311,ChatGPT
task_Server1_test_0_44,2,req_3816269,ChatGPT
task_Server1_test_0_44,3,req_4046242,ChatGPT
task_Server1_test_0_44,4,req_5217840,GPT-4
task_Server1_test_0_45,0,req_4875425,ChatGPT
task_Server1_test_0_45,1,req_4064502,ChatGPT
