ModelID,ModelType,ArenaScore,ServerID,ModelTypeName,ModelInstanceID,CostPerToken
1,1,1.0,Server2_10,ChatGPT,model_Server2_10_1,0.0015
2,1,0.967,Server2_30,ChatGPT,model_Server2_30_2,0.0015
3,1,0.952,Server2_44,ChatGPT,model_Server2_44_3,0.0015
4,1,0.942,Server2_46,ChatGPT,model_Server2_46_4,0.0015
5,1,0.936,Server2_15,ChatGPT,model_Server2_15_5,0.0015
6,1,0.928,Server2_30,ChatGPT,model_Server2_30_6,0.0015
7,1,0.908,Server2_33,ChatGPT,model_Server2_33_7,0.0015
8,1,0.908,Server2_43,ChatGPT,model_Server2_43_8,0.0015
9,1,0.897,Server2_33,ChatGPT,model_Server2_33_9,0.0015
10,1,0.881,Server2_38,ChatGPT,model_Server2_38_10,0.0015
11,1,0.873,Server2_27,ChatGPT,model_Server2_27_11,0.0015
12,1,0.867,Server2_35,ChatGPT,model_Server2_35_12,0.0015
13,1,0.863,Server2_5,ChatGPT,model_Server2_5_13,0.0015
14,1,0.861,Server2_30,ChatGPT,model_Server2_30_14,0.0015
15,1,0.848,Server2_44,ChatGPT,model_Server2_44_15,0.0015
16,1,0.845,Server2_30,ChatGPT,model_Server2_30_16,0.0015
17,1,0.838,Server2_30,ChatGPT,model_Server2_30_17,0.0015
18,1,0.822,Server2_41,ChatGPT,model_Server2_41_18,0.0015
19,1,0.817,Server2_12,ChatGPT,model_Server2_12_19,0.0015
20,1,0.811,Server2_49,ChatGPT,model_Server2_49_20,0.0015
21,1,0.805,Server2_33,ChatGPT,model_Server2_33_21,0.0015
22,1,0.8,Server2_20,ChatGPT,model_Server2_20_22,0.0015
23,1,0.8,Server2_10,ChatGPT,model_Server2_10_23,0.0015
24,1,0.798,Server2_30,ChatGPT,model_Server2_30_24,0.0015
25,1,0.791,Server2_6,ChatGPT,model_Server2_6_25,0.0015
26,1,0.791,Server2_15,ChatGPT,model_Server2_15_26,0.0015
27,1,0.791,Server2_29,ChatGPT,model_Server2_29_27,0.0015
28,1,0.789,Server2_23,ChatGPT,model_Server2_23_28,0.0015
29,1,0.786,Server2_2,ChatGPT,model_Server2_2_29,0.0015
30,1,0.786,Server2_24,ChatGPT,model_Server2_24_30,0.0015
31,1,0.784,Server2_15,ChatGPT,model_Server2_15_31,0.0015
32,1,0.777,Server2_15,ChatGPT,model_Server2_15_32,0.0015
33,1,0.775,Server2_49,ChatGPT,model_Server2_49_33,0.0015
34,1,0.77,Server2_35,ChatGPT,model_Server2_35_34,0.0015
35,1,0.764,Server2_43,ChatGPT,model_Server2_43_35,0.0015
36,1,0.763,Server2_19,ChatGPT,model_Server2_19_36,0.0015
37,1,0.759,Server2_23,ChatGPT,model_Server2_23_37,0.0015
38,1,0.756,Server2_27,ChatGPT,model_Server2_27_38,0.0015
39,1,0.755,Server2_28,ChatGPT,model_Server2_28_39,0.0015
40,1,0.75,Server2_43,ChatGPT,model_Server2_43_40,0.0015
41,1,0.744,Server2_43,ChatGPT,model_Server2_43_41,0.0015
42,1,0.742,Server2_49,ChatGPT,model_Server2_49_42,0.0015
43,1,0.739,Server2_49,ChatGPT,model_Server2_49_43,0.0015
44,1,0.739,Server2_27,ChatGPT,model_Server2_27_44,0.0015
45,1,0.738,Server2_12,ChatGPT,model_Server2_12_45,0.0015
46,1,0.738,Server2_30,ChatGPT,model_Server2_30_46,0.0015
47,1,0.738,Server2_6,ChatGPT,model_Server2_6_47,0.0015
48,1,0.734,Server2_43,ChatGPT,model_Server2_43_48,0.0015
49,1,0.734,Server2_48,ChatGPT,model_Server2_48_49,0.0015
50,1,0.733,Server2_3,ChatGPT,model_Server2_3_50,0.0015
51,1,0.731,Server2_20,ChatGPT,model_Server2_20_51,0.0015
52,1,0.731,Server2_33,ChatGPT,model_Server2_33_52,0.0015
53,1,0.73,Server2_20,ChatGPT,model_Server2_20_53,0.0015
54,1,0.728,Server2_22,ChatGPT,model_Server2_22_54,0.0015
55,1,0.725,Server2_44,ChatGPT,model_Server2_44_55,0.0015
56,1,0.722,Server2_33,ChatGPT,model_Server2_33_56,0.0015
57,1,0.72,Server2_27,ChatGPT,model_Server2_27_57,0.0015
58,1,0.717,Server2_12,ChatGPT,model_Server2_12_58,0.0015
59,1,0.716,Server2_32,ChatGPT,model_Server2_32_59,0.0015
60,1,0.714,Server2_20,ChatGPT,model_Server2_20_60,0.0015
61,1,0.714,Server2_34,ChatGPT,model_Server2_34_61,0.0015
62,1,0.706,Server2_48,ChatGPT,model_Server2_48_62,0.0015
63,1,0.705,Server2_10,ChatGPT,model_Server2_10_63,0.0015
64,1,0.705,Server2_43,ChatGPT,model_Server2_43_64,0.0015
65,1,0.703,Server2_48,ChatGPT,model_Server2_48_65,0.0015
