ServerID,Longitude,Latitude,LinkBandwidth,ComputationCapacity,StorageCapacity,TrafficRate,ClusterID,OriginalID,NormalizedCompute
Server2_585,-0.8438,52.1508,50,59,35,23,Server2,5413632,1.0
Server2_182,-1.1678,51.0796,50,59,18,40,Server2,2830849,1.0
Server2_425,0.0032,51.4892,50,59,21,34,Server2,135307384,1.0
Server2_257,-2.5066,53.3779,50,59,15,29,Server2,4177186,1.0
Server2_161,-1.2375,54.5314,50,59,37,40,Server2,27,1.0
Server2_950,0.064,52.1705,50,59,26,45,Server2,5201420,1.0
Server2_164,-0.9882,51.4554,50,59,26,46,Server2,5715980,1.0
Server2_850,-3.6505,57.4001,50,59,22,32,Server2,133454090,1.0
Server2_360,-4.253,56.8792,50,59,21,47,Server2,12927494,1.0
Server2_743,-1.1481,52.9217,50,59,29,29,Server2,128283522,1.0
Server2_311,-0.1742,51.5088,50,59,23,44,Server2,133610116,1.0
Server2_338,-0.4104,51.6756,50,59,19,30,Server2,1341950,1.0
Server2_700,-0.0842,51.4641,50,59,36,27,Server2,4077824,1.0
Server2_602,-2.0951,52.8002,50,59,31,37,Server2,58626372,1.0
Server2_741,-1.4323,53.7933,50,59,29,30,Server2,5181454,1.0
Server2_539,-2.8777,51.6727,50,59,25,47,Server2,13723464,1.0
Server2_692,-2.2678,53.3661,50,59,18,45,Server2,40306,1.0
Server2_686,-1.3741,54.8364,50,59,36,26,Server2,17673,1.0
Server2_846,-3.0379,56.467,50,59,33,43,Server2,130519321,1.0
Server2_326,-1.5482,51.2141,50,59,35,47,Server2,9656837,1.0
Server2_997,-3.9701,55.8511,50,59,35,42,Server2,1912854,1.0
Server2_114,-3.1837,51.4778,50,59,32,32,Server2,2117902,1.0
Server2_460,0.0375,52.2247,50,59,35,22,Server2,7460,1.0
Server2_956,-2.0937,52.6408,50,59,30,40,Server2,3118849,1.0
Server2_936,-0.0774,51.5071,50,59,23,27,Server2,455241,1.0
Server2_380,0.0841,52.133,50,59,20,39,Server2,670728,1.0
Server2_617,-1.5046,52.38,50,59,33,36,Server2,8362764,1.0
Server2_266,-0.2319,51.4076,50,58,19,33,Server2,1266571,0.9830508474576272
Server2_804,-0.2385,51.6936,50,58,16,37,Server2,28031,0.9830508474576272
Server2_556,0.6501,51.5615,50,58,22,26,Server2,131154814,0.9830508474576272
Server2_516,0.1138,52.2113,50,58,27,25,Server2,8357650,0.9830508474576272
Server2_96,-2.2875,53.4962,50,58,24,39,Server2,3544320,0.9830508474576272
Server2_863,-2.9876,51.6049,50,58,30,42,Server2,84443171,0.9830508474576272
Server2_523,-1.4633,51.4489,50,58,17,20,Server2,2777608,0.9830508474576272
Server2_737,-0.1695,51.4967,50,58,31,26,Server2,3262740,0.9830508474576272
Server2_888,-1.456,52.38,50,58,31,22,Server2,12941830,0.9830508474576272
Server2_21,-3.4655,50.6434,50,58,17,34,Server2,4517150,0.9830508474576272
Server2_208,-0.4917,51.9258,50,58,21,24,Server2,9602,0.9830508474576272
Server2_77,-2.2174,53.4424,50,58,23,20,Server2,3350529,0.9830508474576272
Server2_646,-1.9937,52.5754,50,58,19,22,Server2,4007942,0.9830508474576272
Server2_456,-0.3447,51.7084,50,58,29,37,Server2,3613474,0.9830508474576272
Server2_196,-3.1432,51.4927,50,58,35,47,Server2,1075015,0.9830508474576272
Server2_729,-0.0078,51.5435,50,58,21,44,Server2,138682248,0.9830508474576272
Server2_366,-2.0933,53.456,50,58,35,47,Server2,6888706,0.9830508474576272
Server2_482,0.1283,51.4754,50,58,15,29,Server2,3500052,0.9830508474576272
Server2_174,-1.4498,52.7518,50,58,34,45,Server2,130592391,0.9830508474576272
Server2_335,-0.2881,51.4843,50,58,27,21,Server2,139050121,0.9830508474576272
Server2_587,-1.7095,52.4485,50,58,21,44,Server2,3450,0.9830508474576272
Server2_713,-1.005,51.463,50,58,29,32,Server2,31453813,0.9830508474576272
Server2_254,-1.1741,51.9177,50,58,17,40,Server2,1618950,0.9830508474576272
Server2_923,-0.3035,51.6359,50,58,21,45,Server2,3236103,0.9830508474576272
Server2_462,-5.8969,54.5792,50,57,25,38,Server2,3081563,0.9661016949152542
Server2_882,-1.1611,51.8943,50,57,35,27,Server2,129445667,0.9661016949152542
Server2_490,-0.5933,51.584,50,57,28,27,Server2,4153110,0.9661016949152542
Server2_1000,-2.1827,53.0093,50,57,18,21,Server2,13307392,0.9661016949152542
Server2_830,-1.6408,54.9736,50,57,29,30,Server2,130405130,0.9661016949152542
Server2_511,-0.0649,51.5216,50,57,17,45,Server2,135999598,0.9661016949152542
Server2_775,-2.1132,51.4637,50,57,30,31,Server2,764710,0.9661016949152542
Server2_555,-2.0913,50.6753,50,57,25,31,Server2,2387212,0.9661016949152542
Server2_267,-2.2307,53.4341,50,57,31,25,Server2,81676,0.9661016949152542
Server2_173,0.2973,51.4929,50,57,36,30,Server2,2716167,0.9661016949152542
Server2_601,-0.3582,51.3493,50,57,32,31,Server2,208652,0.9661016949152542
Server2_192,-0.1341,51.5106,50,57,35,34,Server2,128786291,0.9661016949152542
