ServerID,Longitude,Latitude,LinkBandwidth,ComputationCapacity,StorageCapacity,TrafficRate,ClusterID,OriginalID,NormalizedCompute
Server3_859,11.5335,48.129,50,59,21,31,Server3,26251050,1.0
Server3_1114,10.0014,53.6876,50,59,36,46,Server3,2793002,1.0
Server3_1181,12.4583,51.0307,50,59,23,42,Server3,50116363,1.0
Server3_471,10.1894,48.597,50,59,22,25,Server3,1098,1.0
Server3_836,12.5652,48.9249,50,59,26,20,Server3,44314121,1.0
Server3_1317,12.2157,51.7249,50,59,37,44,Server3,7956995,1.0
Server3_1719,10.2281,49.7312,50,59,27,35,Server3,46096898,1.0
Server3_417,7.2385,50.5717,50,59,31,28,Server3,28840708,1.0
Server3_1613,12.2129,54.2039,50,59,22,28,Server3,41155328,1.0
Server3_1265,10.9637,48.3999,50,59,35,25,Server3,30405128,1.0
Server3_1323,13.407,52.4991,50,59,29,25,Server3,42456832,1.0
Server3_1326,9.146,48.9117,50,59,27,32,Server3,30301198,1.0
Server3_1932,12.8267,54.0894,50,59,20,33,Server3,3254787,1.0
Server3_707,12.1946,50.4912,50,59,30,21,Server3,29952257,1.0
Server3_761,8.3135,49.466,50,59,36,43,Server3,33952270,1.0
Server3_1463,7.267,51.3155,50,59,36,31,Server3,770,1.0
Server3_74,9.765,48.5186,50,59,24,43,Server3,23944489,1.0
Server3_1298,10.6206,48.4103,50,59,19,44,Server3,44566802,1.0
Server3_1390,10.9363,49.9078,50,59,20,41,Server3,20945161,1.0
Server3_984,13.2091,52.1174,50,59,32,28,Server3,6646039,1.0
Server3_1600,13.4054,52.5676,50,59,30,20,Server3,28973589,1.0
Server3_739,10.9639,51.0149,50,59,29,44,Server3,7903783,1.0
Server3_835,11.3588,48.117,50,59,19,45,Server3,26061339,1.0
Server3_227,6.8908,50.3365,50,59,21,26,Server3,33650,1.0
Server3_1177,11.0271,49.4203,50,59,26,31,Server3,45162241,1.0
Server3_616,6.4734,50.829,50,59,19,20,Server3,54514,1.0
Server3_1530,9.9868,53.6261,50,59,17,44,Server3,5936393,1.0
Server3_1067,9.475,54.805,50,59,22,44,Server3,11494,1.0
Server3_290,13.4859,51.1701,50,59,24,26,Server3,29200649,1.0
Server3_741,10.1312,54.3162,50,59,22,41,Server3,26712075,1.0
Server3_745,6.1583,50.7605,50,59,22,25,Server3,64731,1.0
Server3_1781,8.6504,49.4121,50,59,22,43,Server3,27500806,1.0
Server3_1374,9.3961,48.655,50,59,30,35,Server3,11771,1.0
Server3_622,13.2282,53.3632,50,59,34,34,Server3,50108160,1.0
Server3_1083,6.1495,51.1397,50,59,22,39,Server3,11714817,1.0
Server3_1169,14.3974,51.187,50,59,27,41,Server3,34102016,1.0
Server3_1715,11.6619,50.9549,50,59,26,24,Server3,1457,1.0
Server3_855,8.1011,47.8775,50,59,19,31,Server3,102756865,1.0
Server3_283,9.7531,49.6557,50,59,18,30,Server3,18324265,1.0
Server3_167,13.0918,52.558,50,59,25,40,Server3,5229315,1.0
Server3_1417,14.1117,51.2826,50,58,31,43,Server3,8487955,0.9830508474576272
Server3_1406,7.2876,49.3,50,58,20,41,Server3,18247938,0.9830508474576272
Server3_70,10.2302,53.1969,50,58,18,37,Server3,3062293,0.9830508474576272
Server3_648,6.9996,49.5941,50,58,17,42,Server3,44675335,0.9830508474576272
Server3_1441,9.6455,53.8109,50,58,28,33,Server3,6520,0.9830508474576272
Server3_947,6.5179,51.2823,50,58,31,38,Server3,51245833,0.9830508474576272
Server3_1299,6.1006,50.8208,50,58,15,28,Server3,15373611,0.9830508474576272
Server3_977,9.1895,48.8016,50,58,29,39,Server3,62286,0.9830508474576272
Server3_659,9.1757,48.773,50,58,23,33,Server3,24145963,0.9830508474576272
Server3_814,7.5416,51.5529,50,58,21,43,Server3,12874003,0.9830508474576272
Server3_757,12.4639,50.9839,50,58,37,32,Server3,36675584,0.9830508474576272
Server3_117,13.716,50.9676,50,58,22,26,Server3,8589825,0.9830508474576272
Server3_1669,12.9341,50.8852,50,58,29,37,Server3,29903104,0.9830508474576272
Server3_406,13.3101,51.038,50,58,27,42,Server3,7782676,0.9830508474576272
Server3_1621,8.1149,47.9058,50,58,32,42,Server3,23379261,0.9830508474576272
Server3_785,11.4301,50.9021,50,58,31,24,Server3,32419854,0.9830508474576272
Server3_407,8.8199,53.0808,50,58,30,20,Server3,14,0.9830508474576272
Server3_1927,6.0858,50.7711,50,58,26,30,Server3,10519828,0.9830508474576272
Server3_1450,7.1391,50.7131,50,58,15,34,Server3,15580954,0.9830508474576272
Server3_1805,9.0841,48.8291,50,58,31,21,Server3,23057686,0.9830508474576272
Server3_1939,11.8229,50.6102,50,58,24,26,Server3,8164372,0.9830508474576272
Server3_909,7.826,49.9249,50,58,19,21,Server3,15420674,0.9830508474576272
Server3_732,7.4224,51.0541,50,58,26,22,Server3,29797905,0.9830508474576272
Server3_463,6.7724,51.459,50,58,28,32,Server3,27347216,0.9830508474576272
Server3_329,8.6933,50.0619,50,58,28,31,Server3,3791,0.9830508474576272
Server3_1273,13.3376,52.516,50,58,19,40,Server3,2838549,0.9830508474576272
Server3_242,7.7561,53.2623,50,58,37,47,Server3,26149890,0.9830508474576272
Server3_1973,7.5212,51.3725,50,58,21,23,Server3,13749033,0.9830508474576272
Server3_1315,11.4927,49.7233,50,58,23,42,Server3,40263433,0.9830508474576272
Server3_1369,7.5833,51.464,50,58,27,23,Server3,32083968,0.9830508474576272
Server3_1979,11.183,51.4612,50,58,25,39,Server3,33412878,0.9830508474576272
Server3_872,13.5435,52.6099,50,58,35,44,Server3,5261099,0.9830508474576272
Server3_490,11.0076,49.4867,50,58,29,32,Server3,20913962,0.9830508474576272
Server3_1560,8.471,51.9064,50,58,26,45,Server3,31218944,0.9830508474576272
Server3_870,9.7315,50.5231,50,58,30,46,Server3,15718913,0.9830508474576272
Server3_1557,6.7045,49.3442,50,58,36,41,Server3,44667138,0.9830508474576272
Server3_1540,10.6759,50.6576,50,58,27,45,Server3,51570440,0.9830508474576272
Server3_322,9.2237,49.1725,50,58,18,45,Server3,28542465,0.9830508474576272
Server3_7,9.2467,48.8149,50,58,32,46,Server3,19264031,0.9830508474576272
Server3_1259,6.9795,50.8148,50,58,28,21,Server3,29742082,0.9830508474576272
Server3_1588,8.6566,49.8067,50,58,35,25,Server3,45584400,0.9830508474576272
Server3_1013,13.3538,52.4506,50,58,35,22,Server3,33844736,0.9830508474576272
Server3_902,11.386,53.3837,50,58,31,39,Server3,26755848,0.9830508474576272
Server3_1869,11.6473,52.1128,50,58,20,38,Server3,30210059,0.9830508474576272
Server3_1947,7.7679,47.6423,50,58,17,20,Server3,52401685,0.9830508474576272
Server3_1687,7.293,52.3386,50,58,22,38,Server3,34782,0.9830508474576272
Server3_1692,10.5863,51.5447,50,58,17,38,Server3,7731989,0.9830508474576272
Server3_190,11.6134,48.1012,50,58,25,41,Server3,64906,0.9830508474576272
Server3_1165,8.7002,50.0088,50,58,23,45,Server3,18096435,0.9830508474576272
Server3_1860,6.9988,51.486,50,58,37,47,Server3,13953588,0.9830508474576272
Server3_1596,9.006,48.668,50,58,33,32,Server3,8037367950,0.9830508474576272
Server3_1228,13.4082,52.5634,50,57,35,28,Server3,5809433,0.9661016949152542
Server3_1711,5.957,51.0144,50,57,24,42,Server3,42214405,0.9661016949152542
Server3_321,9.0806,53.061,50,57,33,42,Server3,36158501,0.9661016949152542
Server3_1397,12.3875,51.3772,50,57,17,25,Server3,51816724,0.9661016949152542
Server3_1166,8.1614,50.7608,50,57,28,40,Server3,36900609,0.9661016949152542
Server3_1251,8.6337,49.5603,50,57,32,32,Server3,48843807,0.9661016949152542
Server3_1249,13.8739,50.9761,50,57,21,38,Server3,33893133,0.9661016949152542
Server3_1664,10.8861,51.8334,50,57,15,22,Server3,27748353,0.9661016949152542
Server3_1280,13.4533,52.4296,50,57,35,32,Server3,102468883,0.9661016949152542
Server3_1391,8.5126,50.0937,50,57,19,22,Server3,15672596,0.9661016949152542
Server3_846,11.4595,48.7651,50,57,28,26,Server3,20553001,0.9661016949152542
Server3_660,10.6078,52.5779,50,57,20,28,Server3,5234976,0.9661016949152542
Server3_299,8.4511,49.0372,50,57,27,31,Server3,23325225,0.9661016949152542
Server3_149,10.165,48.4601,50,57,33,41,Server3,17938438,0.9661016949152542
Server3_1236,11.6085,48.0956,50,57,34,42,Server3,23472,0.9661016949152542
Server3_1365,12.2527,53.8969,50,57,24,38,Server3,33433093,0.9661016949152542
Server3_332,13.2002,54.3066,50,57,35,29,Server3,39384843,0.9661016949152542
Server3_1892,9.5353,52.5862,50,57,15,35,Server3,10991875,0.9661016949152542
Server3_1745,11.8777,47.6602,50,57,22,26,Server3,25863190,0.9661016949152542
Server3_1141,8.5546,49.1262,50,57,36,29,Server3,12432,0.9661016949152542
Server3_568,7.5703,53.0323,50,57,21,30,Server3,5193491,0.9661016949152542
Server3_265,7.0077,51.4482,50,57,26,40,Server3,39174145,0.9661016949152542
Server3_1006,10.4513,51.629,50,57,25,30,Server3,41280000,0.9661016949152542
Server3_1482,7.2012,51.5622,50,57,28,46,Server3,26937091,0.9661016949152542
Server3_581,7.2272,51.1549,50,57,32,45,Server3,41720076,0.9661016949152542
Server3_1794,8.2075,53.1336,50,57,36,43,Server3,6178067,0.9661016949152542
Server3_998,7.9308,49.9454,50,57,23,26,Server3,53244436,0.9661016949152542
Server3_1476,10.7918,52.1167,50,57,36,47,Server3,29212944,0.9661016949152542
Server3_65,6.7988,51.2468,50,57,29,27,Server3,10695444,0.9661016949152542
Server3_530,6.5737,51.3381,50,57,35,38,Server3,11197705,0.9661016949152542
Server3_1133,10.9335,52.2741,50,57,24,33,Server3,25622035,0.9661016949152542
